tile,x,y,net_psnr,bicubic_psnr
tile_r00_c00_x15_y17,15,17,45.722,43.03
tile_r00_c01_x367_y17,367,17,44.359,40.947
tile_r00_c02_x719_y17,719,17,44.464,40.664
tile_r00_c03_x1071_y17,1071,17,43.32,39.317
tile_r00_c04_x1423_y17,1423,17,42.946,39.274
tile_r00_c05_x1775_y17,1775,17,44.076,41.844
tile_r00_c06_x2127_y17,2127,17,43.707,41.196
tile_r00_c07_x2479_y17,2479,17,44.17,42.191
tile_r00_c08_x2831_y17,2831,17,48.171,47.021
tile_r00_c09_x3183_y17,3183,17,48.069,46.807
tile_r00_c10_x3438_y17,3438,17,46.655,44.601
tile_r01_c00_x15_y369,15,369,45.428,42.699
tile_r01_c01_x367_y369,367,369,44.242,40.547
tile_r01_c02_x719_y369,719,369,43.211,39.551
tile_r01_c03_x1071_y369,1071,369,42.562,38.703
tile_r01_c04_x1423_y369,1423,369,41.919,37.761
tile_r01_c05_x1775_y369,1775,369,41.868,38.345
tile_r01_c06_x2127_y369,2127,369,40.822,36.653
tile_r01_c07_x2479_y369,2479,369,44.681,41.123
tile_r01_c08_x2831_y369,2831,369,46.74,45.303
tile_r01_c09_x3183_y369,3183,369,47.374,45.231
tile_r01_c10_x3438_y369,3438,369,46.321,44.35
tile_r02_c00_x15_y721,15,721,44.999,41.902
tile_r02_c01_x367_y721,367,721,43.243,39.718
tile_r02_c02_x719_y721,719,721,43.769,39.942
tile_r02_c03_x1071_y721,1071,721,44.91,41.419
tile_r02_c04_x1423_y721,1423,721,44.676,39.431
tile_r02_c05_x1775_y721,1775,721,43.848,38.576
tile_r02_c06_x2127_y721,2127,721,40.295,36.24
tile_r02_c07_x2479_y721,2479,721,40.954,37.027
tile_r02_c08_x2831_y721,2831,721,46.455,44.21
tile_r02_c09_x3183_y721,3183,721,46.491,44.466
tile_r02_c10_x3438_y721,3438,721,47.625,46.048
tile_r03_c00_x15_y1073,15,1073,45.245,41.895
tile_r03_c01_x367_y1073,367,1073,44.413,41.012
tile_r03_c02_x719_y1073,719,1073,44.32,41.348
tile_r03_c03_x1071_y1073,1071,1073,44.831,42.35
tile_r03_c04_x1423_y1073,1423,1073,44.013,39.683
tile_r03_c05_x1775_y1073,1775,1073,42.032,37.533
tile_r03_c06_x2127_y1073,2127,1073,45.229,42.1
tile_r03_c07_x2479_y1073,2479,1073,44.946,42.269
tile_r03_c08_x2831_y1073,2831,1073,44.147,41.179
tile_r03_c09_x3183_y1073,3183,1073,45.889,43.415
tile_r03_c10_x3438_y1073,3438,1073,46.763,45.346
tile_r04_c00_x15_y1425,15,1425,45.528,42.272
tile_r04_c01_x367_y1425,367,1425,45.366,42.685
tile_r04_c02_x719_y1425,719,1425,44.177,41.718
tile_r04_c03_x1071_y1425,1071,1425,43.303,39.787
tile_r04_c04_x1423_y1425,1423,1425,44.291,40.255
tile_r04_c05_x1775_y1425,1775,1425,45.073,42.071
tile_r04_c06_x2127_y1425,2127,1425,43.975,41.472
tile_r04_c07_x2479_y1425,2479,1425,44.924,41.172
tile_r04_c08_x2831_y1425,2831,1425,45.024,42.074
tile_r04_c09_x3183_y1425,3183,1425,46.671,43.401
tile_r04_c10_x3438_y1425,3438,1425,48.234,47.245
tile_r05_c00_x15_y1757,15,1757,46.512,43.446
tile_r05_c01_x367_y1757,367,1757,46.719,43.59
tile_r05_c02_x719_y1757,719,1757,45.803,42.621
tile_r05_c03_x1071_y1757,1071,1757,44.647,39.684
tile_r05_c04_x1423_y1757,1423,1757,44.056,38.499
tile_r05_c05_x1775_y1757,1775,1757,45.266,42.123
tile_r05_c06_x2127_y1757,2127,1757,43.975,40.786
tile_r05_c07_x2479_y1757,2479,1757,45.324,41.674
tile_r05_c08_x2831_y1757,2831,1757,46.228,43.09
tile_r05_c09_x3183_y1757,3183,1757,47.695,44.508
tile_r05_c10_x3438_y1757,3438,1757,48.435,47.575
