tile,x,y,net_psnr,bicubic_psnr
tile_r00_c00_x29_y204,29,204,48.799,46.667
tile_r00_c01_x381_y204,381,204,49.056,47.52
tile_r00_c02_x733_y204,733,204,46.633,45.243
tile_r00_c03_x1085_y204,1085,204,42.738,41.634
tile_r00_c04_x1437_y204,1437,204,42.593,41.201
tile_r00_c05_x1789_y204,1789,204,42.585,40.793
tile_r00_c06_x2141_y204,2141,204,44.616,42.873
tile_r00_c07_x2493_y204,2493,204,46.655,45.447
tile_r00_c08_x2845_y204,2845,204,48.396,46.809
tile_r00_c09_x3197_y204,3197,204,50.075,49.188
tile_r00_c10_x3414_y204,3414,204,51.406,51.01
tile_r01_c00_x29_y556,29,556,49.491,48.236
tile_r01_c01_x381_y556,381,556,47.69,45.896
tile_r01_c02_x733_y556,733,556,45.337,44.187
tile_r01_c03_x1085_y556,1085,556,42.764,40.7
tile_r01_c04_x1437_y556,1437,556,43.09,40.575
tile_r01_c05_x1789_y556,1789,556,43.3,41.324
tile_r01_c06_x2141_y556,2141,556,45.537,43.504
tile_r01_c07_x2493_y556,2493,556,46.465,45.168
tile_r01_c08_x2845_y556,2845,556,48.855,47.848
tile_r01_c09_x3197_y556,3197,556,48.52,47.358
tile_r01_c10_x3414_y556,3414,556,48.063,47.054
tile_r02_c00_x29_y908,29,908,48.892,47.281
tile_r02_c01_x381_y908,381,908,46.903,45.369
tile_r02_c02_x733_y908,733,908,44.595,41.744
tile_r02_c03_x1085_y908,1085,908,43.96,42.374
tile_r02_c04_x1437_y908,1437,908,42.614,41.164
tile_r02_c05_x1789_y908,1789,908,43.565,42.204
tile_r02_c06_x2141_y908,2141,908,44.627,43.447
tile_r02_c07_x2493_y908,2493,908,45.951,44.856
tile_r02_c08_x2845_y908,2845,908,48.738,47.556
tile_r02_c09_x3197_y908,3197,908,49.743,48.774
tile_r02_c10_x3414_y908,3414,908,50.137,49.327
tile_r03_c00_x29_y1260,29,1260,49.246,46.633
tile_r03_c01_x381_y1260,381,1260,46.413,43.612
tile_r03_c02_x733_y1260,733,1260,41.502,37.259
tile_r03_c03_x1085_y1260,1085,1260,44.48,40.092
tile_r03_c04_x1437_y1260,1437,1260,43.589,35.305
tile_r03_c05_x1789_y1260,1789,1260,43.958,37.726
tile_r03_c06_x2141_y1260,2141,1260,47.737,44.839
tile_r03_c07_x2493_y1260,2493,1260,42.368,39.376
tile_r03_c08_x2845_y1260,2845,1260,49.059,45.976
tile_r03_c09_x3197_y1260,3197,1260,49.475,47.159
tile_r03_c10_x3414_y1260,3414,1260,50.01,49.14
tile_r04_c00_x29_y1508,29,1508,49.936,48.843
tile_r04_c01_x381_y1508,381,1508,47.122,44.403
tile_r04_c02_x733_y1508,733,1508,46.189,43.961
tile_r04_c03_x1085_y1508,1085,1508,45.629,38.381
tile_r04_c04_x1437_y1508,1437,1508,43.169,32.774
tile_r04_c05_x1789_y1508,1789,1508,42.966,34.865
tile_r04_c06_x2141_y1508,2141,1508,44.398,41.212
tile_r04_c07_x2493_y1508,2493,1508,40.973,37.213
tile_r04_c08_x2845_y1508,2845,1508,47.318,44.487
tile_r04_c09_x3197_y1508,3197,1508,49.72,47.806
tile_r04_c10_x3414_y1508,3414,1508,49.794,48.739
