tile,x,y,net_psnr,bicubic_psnr
tile_r00_c00_x38_y212,38,212,48.788,46.81
tile_r00_c01_x390_y212,390,212,48.918,47.419
tile_r00_c02_x742_y212,742,212,46.423,45.06
tile_r00_c03_x1094_y212,1094,212,42.706,41.608
tile_r00_c04_x1446_y212,1446,212,42.603,41.121
tile_r00_c05_x1798_y212,1798,212,42.602,40.785
tile_r00_c06_x2150_y212,2150,212,44.666,42.826
tile_r00_c07_x2502_y212,2502,212,46.734,45.623
tile_r00_c08_x2854_y212,2854,212,48.461,46.799
tile_r00_c09_x3206_y212,3206,212,50.067,49.215
tile_r00_c10_x3406_y212,3406,212,51.253,50.797
tile_r01_c00_x38_y564,38,564,49.387,48.13
tile_r01_c01_x390_y564,390,564,47.702,45.943
tile_r01_c02_x742_y564,742,564,45.075,44.007
tile_r01_c03_x1094_y564,1094,564,42.738,40.561
tile_r01_c04_x1446_y564,1446,564,43.069,40.713
tile_r01_c05_x1798_y564,1798,564,43.238,41.283
tile_r01_c06_x2150_y564,2150,564,45.545,43.595
tile_r01_c07_x2502_y564,2502,564,46.716,45.459
tile_r01_c08_x2854_y564,2854,564,48.849,47.881
tile_r01_c09_x3206_y564,3206,564,48.488,47.335
tile_r01_c10_x3406_y564,3406,564,48.158,47.146
tile_r02_c00_x38_y916,38,916,48.882,47.239
tile_r02_c01_x390_y916,390,916,46.817,45.348
tile_r02_c02_x742_y916,742,916,44.481,41.624
tile_r02_c03_x1094_y916,1094,916,43.93,42.451
tile_r02_c04_x1446_y916,1446,916,42.642,41.173
tile_r02_c05_x1798_y916,1798,916,43.579,42.166
tile_r02_c06_x2150_y916,2150,916,44.718,43.557
tile_r02_c07_x2502_y916,2502,916,46.058,44.934
tile_r02_c08_x2854_y916,2854,916,48.77,47.605
tile_r02_c09_x3206_y916,3206,916,49.769,48.785
tile_r02_c10_x3406_y916,3406,916,50.078,49.275
tile_r03_c00_x38_y1268,38,1268,49.297,46.669
tile_r03_c01_x390_y1268,390,1268,46.387,43.558
tile_r03_c02_x742_y1268,742,1268,42.37,37.542
tile_r03_c03_x1094_y1268,1094,1268,44.489,39.23
tile_r03_c04_x1446_y1268,1446,1268,43.506,35.101
tile_r03_c05_x1798_y1268,1798,1268,44.114,37.678
tile_r03_c06_x2150_y1268,2150,1268,47.859,44.905
tile_r03_c07_x2502_y1268,2502,1268,43.724,41.192
tile_r03_c08_x2854_y1268,2854,1268,49.152,45.997
tile_r03_c09_x3206_y1268,3206,1268,49.46,47.302
tile_r03_c10_x3406_y1268,3406,1268,49.964,49.077
tile_r04_c00_x38_y1499,38,1499,49.927,48.812
tile_r04_c01_x390_y1499,390,1499,47.045,44.295
tile_r04_c02_x742_y1499,742,1499,46.2,43.643
tile_r04_c03_x1094_y1499,1094,1499,45.473,38.053
tile_r04_c04_x1446_y1499,1446,1499,43.229,32.768
tile_r04_c05_x1798_y1499,1798,1499,42.969,35.035
tile_r04_c06_x2150_y1499,2150,1499,44.156,41.213
tile_r04_c07_x2502_y1499,2502,1499,41.983,37.972
tile_r04_c08_x2854_y1499,2854,1499,47.556,44.405
tile_r04_c09_x3206_y1499,3206,1499,49.583,47.694
tile_r04_c10_x3406_y1499,3406,1499,49.764,48.756
